date,min,max,normal_min,normal_max
20070319,57.0,86.0,49.2,71.5
20070320,58.0,77.0,49.4,71.8
20070321,50.0,69.0,49.5,72.0
20070322,56.0,75.0,49.7,72.3
20070323,54.0,76.0,49.9,72.5
20070324,52.0,76.0,50.1,72.8
20070325,55.0,79.0,50.3,73.0
20070326,55.0,83.0,50.5,73.2
20070327,47.0,63.0,50.7,73.5
20070328,46.0,61.0,50.8,73.7
20070329,50.0,68.0,51.0,73.9
20070330,44.0,69.0,51.2,74.1
20070331,47.0,79.0,51.4,74.3
20070401,52.0,85.0,51.6,74.5
20070402,64.0,86.0,51.8,74.8
20070403,59.0,85.0,52.0,75.0
20070404,59.0,87.0,52.2,75.2
20070405,62.0,87.0,52.4,75.4
20070406,63.0,86.0,52.6,75.6
20070407,61.0,89.0,52.8,75.8
20070408,63.0,83.0,53.0,76.0
20070409,59.0,86.0,53.2,76.2
20070410,62.0,79.0,53.5,76.4
20070411,52.0,77.0,53.7,76.7
20070412,45.0,63.0,53.9,76.9
20070413,54.0,74.0,54.2,77.1
20070414,48.0,80.0,54.4,77.3
20070415,55.0,69.0,54.7,77.6
20070416,47.0,72.0,54.9,77.8
20070417,52.0,84.0,55.2,78.1
20070418,52.0,69.0,55.5,78.3
20070419,45.0,67.0,55.7,78.6
20070420,55.0,63.0,56.0,78.9
20070421,51.0,73.0,56.3,79.1
20070422,54.0,73.0,56.6,79.4
20070423,52.0,71.0,56.9,79.7
20070424,58.0,81.0,57.2,80.0
20070425,56.0,86.0,57.5,80.3
20070426,61.0,89.0,57.8,80.6
20070427,64.0,91.0,58.1,80.9
20070428,65.0,96.0,58.4,81.2
20070429,66.0,96.0,58.8,81.6
20070430,76.0,95.0,59.1,81.9
20070501,67.0,91.0,59.4,82.2
20070502,63.0,88.0,59.7,82.6
20070503,61.0,76.0,60.1,82.9
20070504,54.0,74.0,60.4,83.3
20070505,54.0,69.0,60.7,83.6
20070506,58.0,79.0,61.0,84.0
20070507,61.0,83.0,61.4,84.4
20070508,62.0,89.0,61.7,84.7
20070509,61.0,96.0,62.0,85.1
20070510,64.0,97.0,62.3,85.5
20070511,66.0,99.0,62.7,85.9
